The 95
Fulton 14
County 13
Grand 1
Jury 1
said 76
Friday 4
an 33
investigation 3
of 315
Atlanta's 2
recent 2
primary 4
election 17
produced 1
`` 103
no 16
evidence 5
'' 99
that 99
any 10
irregularities 3
took 2
place 5
. 376
jury 22
further 7
in 184
term-end 1
presentments 1
the 580
City 7
Executive 3
Committee 8
, 404
which 30
had 20
over-all 1
charge 2
deserves 1
praise 1
and 173
thanks 1
Atlanta 5
for 109
manner 2
was 60
conducted 1
September-October 1
term 4
been 34
charged 4
by 71
Superior 2
Court 3
Judge 5
Durwood 1
Pye 1
to 265
investigate 1
reports 2
possible 5
hard-fought 1
won 1
Mayor-nominate 1
Ivan 2
Allen 2
Jr. 4
Only 2
a 194
relative 1
handful 1
such 12
received 5
considering 1
widespread 1
interest 2
number 5
voters 5
size 1
this 26
city 20
it 37
did 8
find 3
many 3
Georgia's 4
registration 1
laws 7
are 19
outmoded 1
or 22
inadequate 1
often 1
ambiguous 1
It 16
recommended 5
legislators 6
act 5
have 24
these 13
studied 2
revised 1
end 2
modernizing 1
improving 1
them 11
grand 6
commented 2
on 66
other 16
topics 2
among 2
purchasing 2
departments 2
well 2
operated 2
follow 2
generally 3
accepted 1
practices 3
inure 1
best 1
both 6
governments 1
Merger 1
proposed 7
However 1
believes 3
two 9
offices 1
should 12
be 69
combined 2
achieve 2
greater 3
efficiency 1
reduce 3
cost 6
administration 25
Purchasing 1
Department 10
is 55
lacking 2
experienced 1
clerical 1
personnel 2
as 52
result 2
policies 5
urged 3
take 10
steps 3
remedy 1
problem 5
Implementation 1
automobile 1
title 1
law 10
also 16
outgoing 1
next 5
Legislature 6
provide 7
enabling 3
funds 11
re-set 1
effective 2
date 2
so 5
orderly 2
implementation 1
may 7
effected 1
swipe 1
at 30
State 20
Welfare 3
Department's 2
handling 1
federal 17
granted 1
child 4
welfare 3
services 4
foster 1
homes 3
This 11
one 16
major 2
items 2
general 11
assistance 2
program 16
but 10
has 48
seen 1
fit 1
distribute 1
through 6
all 7
counties 5
state 17
with 35
exception 2
receives 1
none 3
money 4
jurors 2
they 12
realize 1
proportionate 1
distribution 1
might 2
disable 1
our 4
less 2
populous 2
Nevertheless 1
we 2
feel 2
future 6
receive 4
some 14
portion 2
available 2
Failure 1
do 6
will 36
continue 2
disproportionate 1
burden 1
taxpayers 1
ordinary's 1
court 11
under 13
fire 2
its 22
appointment 4
appraisers 1
guardians 1
administrators 1
awarding 1
fees 1
compensation 1
Wards 1
protected 1
found 2
incorporated 1
into 8
operating 1
procedures 1
recommendations 5
previous 3
juries 1
Bar 1
Association 2
interim 1
citizens 4
committee 15
These 3
actions 3
serve 1
protect 1
fact 3
effect 2
court's 1
wards 1
from 25
undue 1
costs 6
appointed 1
elected 4
servants 1
unmeritorious 1
criticisms 1
Regarding 1
new 16
multi-million-dollar 1
airport 2
when 7
management 1
takes 1
Jan. 3
1 10
eliminate 1
political 5
influences 1
not 35
elaborate 2
added 3
there 19
periodic 1
surveillance 1
pricing 1
concessionaires 1
purpose 1
keeping 1
prices 1
reasonable 1
Ask 1
jail 2
deputies 2
On 2
matters 1
: 7
( 15
) 15
Four 1
additional 2
employed 2
Jail 1
doctor 3
medical 15
intern 1
extern 1
night 6
weekend 1
duty 2
2 4
work 7
officials 2
pass 1
legislation 3
permit 2
establishment 4
fair 3
equitable 1
pension 1
plan 18
employes 1
praised 1
operation 1
Police 1
Tax 1
Commissioner's 1
Office 1
Bellwood 1
Alpharetta 1
prison 2
farms 1
Grady 1
Hospital 4
Health 3
Mayor 2
William 2
B. 6
Hartsfield 5
filed 1
suit 2
divorce 1
his 30
wife 2
Pearl 1
Williams 5
His 5
petition 4
mental 1
cruelty 1
couple 2
married 1
Aug. 2
1913 1
They 4
son 1
Berry 3
daughter 1
Mrs. 1
J. 7
M. 4
Cheshire 1
Griffin 2
Attorneys 1
mayor 2
amicable 1
property 6
settlement 1
agreed 2
upon 5
listed 4
mayor's 3
occupation 2
attorney 5
age 5
71 1
wife's 1
74 1
birth 1
Opelika 1
Ala. 1
lived 1
together 1
man 1
more 24
than 16
year 24
home 10
637 1
E. 3
Pelham 5
Rd. 1
Aj 1
Henry 2
L. 2
Bowden 1
brief 1
interlude 1
since 8
1937 1
career 3
goes 1
back 5
council 7
1923 1
present 6
office 1
expires 1
He 19
succeeded 2
who 25
became 1
candidate 5
